certificate_id,film_name,cut_no,mod_type,content_category,content_type,description,tcr_timestamps,deleted,replaced,inserted,total_modified_time
100010842400010240,MADDOCK FILMS - MUMBAI,1,overlay,other,title,Superimposed Film Title in HINDI,NANA,0,0,0,0
100010842400008384,SEVEN,1,insertion,other,other,Added 10 Seconds Of Space In The Beginning Of Film For Display Of CBFC Censor Certificate.,10,0,0,0.016666666666666666,0.02
100010842400008384,SEVEN,2,insertion,other,other,Inserted Health Spot of Sunita and Cigarette Bidi do in Beginning and Middle of the film 00.01 mints each.,00.01,0,0,2,2
100010842400008384,SEVEN,3,insertion,other,title,Inserted Cast and Credit Localization language in Tamil 10.sec,NANA,0,0,0.016666666666666666,0.02
100010842400006032,THE DEPARTED,1,insertion,other,other,ADDED 0.10 SECONDS OF SPACE IN THE BEGINNING OF FILM FOR DISPLAY OF CENSOR CERTIFICATE.,0.10,0,0,0.016666666666666666,0.02
100010842400006032,THE DEPARTED,2,insertion,other,other,INSERTED HEALTH SPOT IN TAMIL LANGUAGE IN THE BEGINNING AND MIDDLE OF THE FILM 00.01 MINTS EACH.,00.01,0,0,2,2
100010842400006032,THE DEPARTED,3,insertion,other,title,INSERTED CAST AND CREDIT LOCALIZATION IN TAMIL LANGUAGE 00.10 SECONDS.,00.10,0,0,0.016666666666666666,0.02
100030842400002496,BEIJING RELIABLE MEDIA CO.LTD,1,reduction,other,scene,Reduced the scene of violence at TCR-00:03:30:00,00:03:30:00,0.23333333333333334,0,0,0.23
100030842400002496,BEIJING RELIABLE MEDIA CO.LTD,2,visual,substance,technical,"Blurred Liquor brand label at TCR-00:30:04:00, 00:30:27:00, 00:31:19:00 and 00:31:33:00","00:30:04:00, 00:30:27:00, 00:31:19:00, 00:31:33:00",0,0,0,0
100030842400002496,BEIJING RELIABLE MEDIA CO.LTD,3,audio,profanity,dialogue,Muted inappropriate use of the word Americans at TCR-01:08:05:00 and 01:08:55:00,"01:08:05:00, 01:08:55:00",0,0,0,0
100030842400002480,ERROR 404 PRODUCTIONS LTD,1,insertion,other,other,Inserted disclaimer in Malayalam for the dangerous action content in the film.,NANA,0,0.06666666666666667,0,0.07
100030842400002480,ERROR 404 PRODUCTIONS LTD,2,visual,substance,technical,"Blurred liquor brand label at TCR-00:21:41:00, 00:44:05:00, 01:04:17:00 and 01:04:35:00","00:21:41:00, 00:44:05:00, 01:04:17:00, 01:04:35:00",0,0,0,0
100030842400002480,ERROR 404 PRODUCTIONS LTD,3,overlay,substance,technical,Superimposed anti-liquor static message in Malayalam at TCR-00:24:45:00 and 00:56:30:00,"00:24:45:00, 00:56:30:00",0,0,0,0
100030842400002480,ERROR 404 PRODUCTIONS LTD,4,overlay,other,technical,Superimposed anti-smoking static in Malayalam at TCR-00:40:18:00,00:40:18:00,0,0,0,0
100030842400002480,ERROR 404 PRODUCTIONS LTD,5,deletion,violence,scene,Deleted the close visuals of stabbing at TCR-00:57:38:00 and 00:57:55:00,"00:57:38:00, 00:57:55:00",0.03333333333333333,0,0,0.03
100030842400002480,ERROR 404 PRODUCTIONS LTD,6,deletion,violence,scene,Deleted the visual of tasting blood at TCR-00:58:18:00,00:58:18:00,0.016666666666666666,0,0,0.02
100010842400008496,"A 24 INTERNATIONAL LLC,",1,audio,profanity,dialogue,MUTED THE WORD :- FUCK : 00:25:27:14 00:57:24:19 00:57:27:14 00:57:29:09 00:57:33:23 00:57:40:04 00:58:57:08 00:59:01:23 01:07:56:05 01:36:22:21 01:36:24:02 01:36:27:20 01:36:31:24 FUCKED :00:46:03:15 FUCKIT :00:48:30:03 ASSHOLE :00:21:58:13,"00:25:27:14, 00:57:24:19, 00:57:27:14, 00:57:29:09, 00:57:33:23, 00:57:40:04, 00:58:57:08, 00:59:01:23, 01:07:56:05, 01:36:22:21, 01:36:24:02, 01:36:27:20, 01:36:31:24, 00:46:03:15, 00:48:30:03, 00:21:58:13",0,0,0,0
100010842400008496,"A 24 INTERNATIONAL LLC,",2,audio,profanity,dialogue,MUTED THE WORD:- FUCKING :00:34:33:14 00:49:45:03 00:58:40:03 01:07:52:20 01:16:39:19 01:22:03:15,"00:34:33:14, 00:49:45:03, 00:58:40:03, 01:07:52:20, 01:16:39:19, 01:22:03:15",0,0,0,0
100010842400008496,"A 24 INTERNATIONAL LLC,",3,other,substance,other,ALCOHOL CONSUMPTION IS INJURIOS TO HEALTH:- 00:18:48:08 TO 00:20:08:00 2) 00:44:19:24 TO 00:46:11:05 3) 00:47:07:02 TO 00:47:45:01 4) 00:47:55:23 TO 00:47:33:07 5) 01:01:16:03 TO 01:03:58:17,"00:18:48:08, 00:20:08:00, 00:44:19:24, 00:46:11:05, 00:47:07:02, 00:47:45:01, 00:47:55:23, 00:47:33:07, 01:01:16:03, 01:03:58:17",0,0,0,0
100010842400008496,"A 24 INTERNATIONAL LLC,",4,other,other,other,00:24:27:10 TO 00:24:30:00 MS THE TALL RUNS TOWARD ANDY loud impactbuzzing ANDY (OS):No No MCU ANDY FRIGHTENED AS THE MAN IS INCHES AWAY.,"00:24:27:10, 00:24:30:00",0.03333333333333333,0,0,0.03
100010842400008496,"A 24 INTERNATIONAL LLC,",5,other,other,other,00:24:45:08 TO 00:24:59:24 :- INT. OSLER UNIVERSITY - ATRIUM - NIGHTDREAM GRETA IS KNEELING IN THE MIDDLE OF THE CHAOTIC ATRIUM DURING AN EARTHQUAKE STUDENTS RUN DOWN THE STAIRS PANICKING. A GIRL FALLS DOWN. THE LIGHTS FLICKER.FIERY SPARKS FALL FRO,"00:24:45:08, 00:24:59:24",0.23333333333333334,0,0,0.23
100010842400008496,"A 24 INTERNATIONAL LLC,",6,other,other,other,"00:29:20:14 TO00:29:27:04 on a horse, with a huge penis JANET (cont):Is that betterPAUL (OS then ON):Who has a huge penis PAUL (cont):Me or the horseJANET:You.","00:29:20:14, 00:29:27:04",0.1,0,0,0.1
100010842400008496,"A 24 INTERNATIONAL LLC,",7,other,sexual,other,00:46:57:10 TO 00:47:07:01 :- PAUL GRABS MOLLYS CROTCH MOLLY SMILING.PAUL STILL BITING HER EAR.HE LEANS BACK.Im so wet. PAUL FROM BEHIND AS HE PULLS MOLLYS HEAD BACK AND STARTS TO KISS HER.exhalesMOLLY AND PAUL KISSING.,"00:46:57:10, 00:47:07:01",0.016666666666666666,0,0,0.02
100010842400008496,"A 24 INTERNATIONAL LLC,",8,other,other,other,00:47:28:13 TO 00:47:29:09 :- MS MOLLY IN LINGERIE ON TOP OF PAUL HAVING AN ORGASM,"00:47:28:13, 00:47:29:09",0.016666666666666666,0,0,0.02
100010842400008496,"A 24 INTERNATIONAL LLC,",9,other,other,other,"00:54:00:00 TO 00:59:39:24:- MCU PAUL PUTS HIS HANDS ON MOLLYS THIGHS.OTS MOLLY LOOKING AT PAUL. SHE PURSES HER LIPSMCU PAUL LOOKING AT MOLLY INQUISITIVELY.WhatMOLLY EXPLAINS TO PAUL Its just--in the dreams you, like--DREAM FLASHPAUL PULLS MOLLYS","00:54:00:00, 00:59:39:24",1.0666666666666667,0,0,1.07
100010842400008496,"A 24 INTERNATIONAL LLC,",10,audio,violence,other,"00:59:14:09 TO 00:59:24:05 PAUL HITTING ANDY. ANDY GETTING HIT IN THE FACE.BLOOD SPILLS ON THE FLOOR. groaningjarring impact soundsPAUL FROM BEHIND WAVING THE HAMMER UP. ANDYS BODY, OUT OF FOCUS.PAUL HAMMERING DOWN ON ANDY.ANDYS BLOODY FACE.HA","00:59:14:09, 00:59:24:05",0.15,0,0,0.15
100010842400008496,"A 24 INTERNATIONAL LLC,",11,other,other,other,01:02:56:07 TO 01:02:58:09 : INT. WORKSHOP - DAY DREAM FLASH (CONT)ON PAUL STRANGLING CARLOTA.CARLOTA REACHING FOR THE WIRE AND GASPING,"01:02:56:07, 01:02:58:09",0.03333333333333333,0,0,0.03
100010842400008496,"A 24 INTERNATIONAL LLC,",12,visual,violence,other,"01:19:18:17 TO 01:19:27:15:- CU PAUL HOLDING THE CROSSBOW AND SMILING. PAUL SEATED, HOLDING HIS HANDS UP IN FEAR.PAUL HOLDING THE CROSSBOW SHOOTS. PAUL IN FRONT OF A BLACK BACKGROUNDAS THE ARROW PIERCES THROUGH HIS NECK.HE LEANS FORWARD AND GRABS THE","01:19:18:17, 01:19:27:15",0.15,0,0,0.15
100010842400008496,"A 24 INTERNATIONAL LLC,",13,other,sexual,other,01:36:07:07 TO 01:36:15:09:- PARIS - HOTEL - PAULS ROOM - NIGH A TV SCREEN SHOWING A HORROR MOVIE PAUL SEATED AT THE FOOT OF THE BED IN FRONT OF THE TELEVISION.HE RAISES THE REMOTE AND TURNS OFF THE TV. 1881 PAUL (OS):Who do I make it out to,"01:36:07:07, 01:36:15:09",0.13333333333333333,0,0,0.13
100010842400008080,BAWRI CHHORI .,1,replacement,political,title,Modified the opening and End credit titles in Hindi.,NANA,0,0,0,0
100010842400008080,BAWRI CHHORI .,2,deletion,other,other,Deleted the opening narration having strong reference to criminal thoughts ideas.,NANA,0.65,0,0,0.65
100010842400008080,BAWRI CHHORI .,3,insertion,other,title,Added Interval Card -Anti-Smoking spot,NANA,0,0,0,0
100010842400008080,BAWRI CHHORI .,4,audio,profanity,dialogue,Muted the abusive words having reference to genitals and copulation. Necessary corrections to be made in the script and deleted all abusive words.,NANA,0,0,0,0
100010842400008080,BAWRI CHHORI .,5,insertion,substance,scene,Inserted static drug disclaimer in Hindi for the visuals of drug consumption.,NANA,0,0,0,0
100010842400010240,MADDOCK FILMS - MUMBAI,1,overlay,other,title,Superimposed Title in Hindi,NANA,0,0,0,0
100010842400008704,ROMEO RANJHA,1,deletion,other,title,Deleted The Punjabi Start Credits 00:01:40:03 00:03:01:21,"00:01:40:03, 00:03:01:21",1.3666666666666667,0,0,1.37
100010842400008704,ROMEO RANJHA,2,deletion,other,song,Deleted The Song No. 1 ROMEO RANJHA 00:09:40:14 00:12:18:20,"00:09:40:14, 00:12:18:20",2.6333333333333333,0,0,2.63
100010842400008704,ROMEO RANJHA,3,deletion,other,song,Deleted The Song No. 2 CHOTTE KAAKE 00:18:41:09 00:21:04:16,"00:18:41:09, 00:21:04:16",2.3833333333333333,0,0,2.38
100010842400008704,ROMEO RANJHA,4,deletion,other,song,Deleted The Song No. 3 CHANDRI RAAT 00:54:17:06 00:57:09:20,"00:54:17:06, 00:57:09:20",2.8833333333333333,0,0,2.88
100010842400008704,ROMEO RANJHA,5,deletion,other,song,Deleted The Song No. 4 JUGNU 01:26:05:00 01:28:27:01,"01:26:05:00, 01:28:27:01",2.3666666666666667,0,0,2.37
100010842400008704,ROMEO RANJHA,6,deletion,other,song,Deleted The Song No. 5 TICHI LAGDI 01:42:38:21 01:44:00:16,"01:42:38:21, 01:44:00:16",1.3666666666666667,0,0,1.37
100050842400001200,HATCHING (DUBBED),1,overlay,other,title,Superimposed the Credits in Hindi,NANA,0,0,0,0
100010842400010032,THE LAST PEG,1,overlay,substance,other,Superimposed anti-liquor static message in English,NANA,0,0,0,0
100010842400010032,THE LAST PEG,2,visual,substance,other,Blurred liquor brand labels,NANA,0,0,0,0
100010842400008144,HIGHLAND SALES LLP,1,deletion,sexual,scene,"Deleted the visuals of kissing scene. 18.53 to 18.57, 19.18 to 19.23, 20.05 to 20.25, 20.47 to 21.00, 21.16 to 21.57","18.53 to 18.57, 19.18 to 19.23, 20.05 to 20.25, 20.47 to 21.00, 21.16 to 21.57",1.2166666666666668,0,0,1.22
100010842400008144,HIGHLAND SALES LLP,2,deletion,other,scene,Deleted the visuals of girl in bikini. 41.43 to 42.00,41.43 to 42.00,0.2833333333333333,0,0,0.28
100010842400008144,HIGHLAND SALES LLP,3,deletion,other,scene,Deleted the visuals of girls in bikini. 44.36 to 44.45,44.36 to 44.45,0.15,0,0,0.15
100010842400008144,HIGHLAND SALES LLP,4,deletion,other,scene,Deleted the visuals of doctors treating small boy. 31.41 to 31.51,31.41 to 31.51,0.15,0,0,0.15
100010842400008144,HIGHLAND SALES LLP,5,deletion,sexual,scene,Deleted the visuals of boy girl are in the bed. 48.00 to 48.03,48.00 to 48.03,0.05,0,0,0.05
100010842400008144,HIGHLAND SALES LLP,6,deletion,sexual,scene,Deleted the visuals of cleavage scene. 49.38 to 49.48,49.38 to 49.48,0.016666666666666666,0,0,0.02
100010842400008144,HIGHLAND SALES LLP,7,deletion,sexual,scene,Deleted the visuals of three girls in bed with the boy. 01.03.12 to 01.03.20,"01.03.12, 01.03.20",0.13333333333333333,0,0,0.13
100010842400008080,GEM ENTERTAINMENT KFT,1,deletion,violence,scene,Deleted the visuals of dead body. 21.07 to 21.08,21.07 to 21.08,0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,2,deletion,violence,scene,Deleted the visuals of dead body. 38.37 to 38.38,38.37 to 38.38,0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,3,deletion,violence,scene,Deleted the visuals of dead body. 48.54 to 49.04,48.54 to 49.04,0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,4,deletion,other,scene,Deleted the visuals of man putting injection in another mans ear and in the eye. 58.57 to 59.00 59.02 to 59.06 59.24 to 59.27,"58.57 to 59.00, 59.02 to 59.06, 59.24 to 59.27",0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,5,deletion,violence,scene,Deleted the visuals of man removiong knife from the wound. 01.03.50 to 01.03.54,"01.03.50, 01.03.54",0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,6,deletion,violence,scene,Deleted the visuals of dead body. 01.05.44 to 01.05.47,"01.05.44, 01.05.47",0.05,0,0,0.05
100010842400008080,GEM ENTERTAINMENT KFT,7,deletion,other,scene,Deleted the visuals of cutting of skin with the knife. 01.12.35 to 01.12.37,"01.12.35, 01.12.37",0.03333333333333333,0,0,0.03
100010842400008080,GEM ENTERTAINMENT KFT,8,deletion,violence,scene,Deleted the visuals of blood coming from the wound. 01.17.09 to 01.17.10,"01.17.09, 01.17.10",0.016666666666666666,0,0,0.02
100010842400008080,GEM ENTERTAINMENT KFT,9,deletion,violence,scene,Deleted the visuals of blood coming from the wound. 01.17.19 to 01.17.20 01.17.40 to 01.17.42,"01.17.19, 01.17.20, 01.17.40, 01.17.42",0.05,0,0,0.05
100010842400008080,GEM ENTERTAINMENT KFT,10,deletion,other,scene,Deleted the visuals of man burning. 01.17.46 to 01.17.49 01.17.51 to 01.17.53,"01.17.46, 01.17.49, 01.17.51, 01.17.53",0.08333333333333333,0,0,0.08
100010842400008080,GEM ENTERTAINMENT KFT,11,deletion,violence,scene,Deleted the visuals of blood coming from the neck. 01.19.27 to 01.19.28 01.19.31 to 01.19.32 01.19.45 to 01.19.46 01.20.24 to 01.20.26,"01.19.27, 01.19.28, 01.19.31, 01.19.32, 01.19.45, 01.19.46, 01.20.24, 01.20.26",0.08333333333333333,0,0,0.08
100010842400008080,GEM ENTERTAINMENT KFT,12,audio,profanity,dialogue,"Muted the word FUCK at 01.02.09, 01.07.05","01.02.09, 01.07.05",0,0,0,0
100010842400007808,INDIE RIGHTS INC,1,replacement,substance,other,"Replaced old health spots with new anti-smokinganti-tobacco health spots in Tamil, in the beginning of the film.",NANA,0,0,0,0
100010842400007808,INDIE RIGHTS INC,2,insertion,substance,other,"Inserted new anti-smokinganti-tobacco health spots in Tamil, in the middle (after interval) of the film",NANA,0,1,0,1
100010842400007808,INDIE RIGHTS INC,3,insertion,other,other,Inserted disclaimer in Tamil for the dangerous action content.,NANA,0,0.016666666666666666,0,0.02
100010842400007808,INDIE RIGHTS INC,4,overlay,other,title,Superimposed film title and credits in Tamil,NANA,0,0,0,0
100010842400007808,INDIE RIGHTS INC,5,overlay,substance,technical,Superimposed anti-liquor static message in Tamil at TCR-00:48:17:00,00:48:17:00,0,0,0,0
100010842400007808,INDIE RIGHTS INC,6,overlay,other,technical,Superimposed anti-smoking static messge at TCR-01:12:20:00,01:12:20:00,0,0,0,0
100010842400007808,CARDINAL XD LLC,1,overlay,other,title,Superimposed the Title and Credits of the film in Tamil,NANA,0,0,0,0
100010842400007808,CARDINAL XD LLC,2,visual,substance,technical,"Blurred liquor brand label at TCR-00:11:28:00, 00:12:05:00, 00:18:30:00","00:11:28:00, 00:12:05:00, 00:18:30:00",0,0,0,0
100010842400007808,CARDINAL XD LLC,3,other,substance,other,"Provided bigger, readable anti-liquor static message in Tamil",NANA,0,0,0,0
100010842400010224,SINGHAM AGAIN,1,replacement,other,other,Corrected Disclaimer in Telugu.,NANA,0,0,0,0
100010842400007824,SHOOT EM UP,1,insertion,other,other,ADDED 10 SECONDS OF SPACE AT THE BEGINNING OF THE FILM FOR THE DISPLAY OF THE CBFC CERTIFICATE,10,0,0,0.016666666666666666,0.02
100010842400007824,SHOOT EM UP,2,insertion,other,other,INSERTED HEALTH SPOT IN TAMIL LANGUAGE IN THE BEGINNING AND MIDDLE OF THE FILM 0.01 MINUTES EACH,0.01,0,0,2,2
100010842400007824,SHOOT EM UP,3,insertion,other,title,INSERTED CAST CREDIT LOCALIZATION IN TAMIL LANGUAGE 00.10 SECONDS,00.10,0,0,0.016666666666666666,0.02
