certificate_id,film_name,cut_no,description,deleted,replaced,inserted
100010842400010236,MADDOCK FILMS - MUMBAI,1,Superimposed Film Title in HINDI,00.00,00.00,00.00
100010842400008384,SEVEN,1,Added 10 Seconds Of Space In The Beginning Of Film For Display Of CBFC Censor Certificate.,00.00,00.00,00.10
100010842400008384,SEVEN,2,Inserted Health Spot of Sunita and Cigarette Bidi do in Beginning and Middle of the film 00.01 mints each.,00.00,00.00,02.00
100010842400008384,SEVEN,3,Inserted Cast and Credit Localization language in Tamil 10.sec,00.00,00.00,00.10
100010842400006027,THE DEPARTED,1,ADDED 0.10 SECONDS OF SPACE IN THE BEGINNING OF FILM FOR DISPLAY OF CENSOR CERTIFICATE.,00.00,00.00,00.10
100010842400006027,THE DEPARTED,2,INSERTED HEALTH SPOT IN TAMIL LANGUAGE IN THE BEGINNING AND MIDDLE OF THE FILM 00.01 MINTS EACH.,00.00,00.00,02.00
100010842400006027,THE DEPARTED,3,INSERTED CAST AND CREDIT LOCALIZATION IN TAMIL LANGUAGE 00.10 SECONDS.,00.00,00.00,00.10
100030842400002498,BEIJING RELIABLE MEDIA CO.LTD,1,Reduced the scene of violence at TCR-00:03:30:00,00.14,00.00,00.00
100030842400002498,BEIJING RELIABLE MEDIA CO.LTD,2,"Blurred Liquor brand label at TCR-00:30:04:00, 00:30:27:00, 00:31:19:00 and 00:31:33:00",00.00,00.00,00.00
100030842400002498,BEIJING RELIABLE MEDIA CO.LTD,3,Muted inappropriate use of the word Americans at TCR-01:08:05:00 and 01:08:55:00,00.00,00.00,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,1,Inserted disclaimer in Malayalam for the dangerous action content in the film.,00.00,00.04,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,2,"Blurred liquor brand label at TCR-00:21:41:00, 00:44:05:00, 01:04:17:00 and 01:04:35:00",00.00,00.00,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,3,Superimposed anti-liquor static message in Malayalam at TCR-00:24:45:00 and 00:56:30:00,00.00,00.00,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,4,Superimposed anti-smoking static in Malayalam at TCR-00:40:18:00,00.00,00.00,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,5,Deleted the close visuals of stabbing at TCR-00:57:38:00 and 00:57:55:00,00.02,00.00,00.00
100030842400002483,ERROR 404 PRODUCTIONS LTD,6,Deleted the visual of tasting blood at TCR-00:58:18:00,00.01,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",1,MUTED THE WORD :- FUCK : 00:25:27:14 00:57:24:19 00:57:27:14 00:57:29:09 00:57:33:23 00:57:40:04 00:58:57:08 00:59:01:23 01:07:56:05 01:36:22:21 01:36:24:02 01:36:27:20 01:36:31:24 FUCKED :00:46:03:15 FUCKIT :00:48:30:03 ASSHOLE :00:21:58:13,00.00,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",2,MUTED THE WORD:- FUCKING :00:34:33:14 00:49:45:03 00:58:40:03 01:07:52:20 01:16:39:19 01:22:03:15,00.00,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",3,ALCOHOL CONSUMPTION IS INJURIOS TO HEALTH:- 00:18:48:08 TO 00:20:08:00 2) 00:44:19:24 TO 00:46:11:05 3) 00:47:07:02 TO 00:47:45:01 4) 00:47:55:23 TO 00:47:33:07 5) 01:01:16:03 TO 01:03:58:17,00.00,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",4,00:24:27:10 TO 00:24:30:00 MS THE TALL RUNS TOWARD ANDY loud impactbuzzing ANDY (OS):No No MCU ANDY FRIGHTENED AS THE MAN IS INCHES AWAY.,00.02,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",5,00:24:45:08 TO 00:24:59:24 :- INT. OSLER UNIVERSITY - ATRIUM - NIGHTDREAM GRETA IS KNEELING IN THE MIDDLE OF THE CHAOTIC ATRIUM DURING AN EARTHQUAKE STUDENTS RUN DOWN THE STAIRS PANICKING. A GIRL FALLS DOWN. THE LIGHTS FLICKER.FIERY SPARKS FALL FRO,00.14,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",6,"00:29:20:14 TO00:29:27:04 on a horse, with a huge penis JANET (cont):Is that betterPAUL (OS then ON):Who has a huge penis PAUL (cont):Me or the horseJANET:You.",00.06,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",7,00:46:57:10 TO 00:47:07:01 :- PAUL GRABS MOLLYS CROTCH MOLLY SMILING.PAUL STILL BITING HER EAR.HE LEANS BACK.Im so wet. PAUL FROM BEHIND AS HE PULLS MOLLYS HEAD BACK AND STARTS TO KISS HER.exhalesMOLLY AND PAUL KISSING.,00.10,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",8,00:47:28:13 TO 00:47:29:09 :- MS MOLLY IN LINGERIE ON TOP OF PAUL HAVING AN ORGASM,00.01,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",9,"00:54:00:00 TO 00:59:39:24:- MCU PAUL PUTS HIS HANDS ON MOLLYS THIGHS.OTS MOLLY LOOKING AT PAUL. SHE PURSES HER LIPSMCU PAUL LOOKING AT MOLLY INQUISITIVELY.WhatMOLLY EXPLAINS TO PAUL Its just--in the dreams you, like--DREAM FLASHPAUL PULLS MOLLYS",01.40,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",10,"00:59:14:09 TO 00:59:24:05 PAUL HITTING ANDY. ANDY GETTING HIT IN THE FACE.BLOOD SPILLS ON THE FLOOR. groaningjarring impact soundsPAUL FROM BEHIND WAVING THE HAMMER UP. ANDYS BODY, OUT OF FOCUS.PAUL HAMMERING DOWN ON ANDY.ANDYS BLOODY FACE.HA",00.09,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",11,01:02:56:07 TO 01:02:58:09 : INT. WORKSHOP - DAY DREAM FLASH (CONT)ON PAUL STRANGLING CARLOTA.CARLOTA REACHING FOR THE WIRE AND GASPING,00.02,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",12,"01:19:18:17 TO 01:19:27:15:- CU PAUL HOLDING THE CROSSBOW AND SMILING. PAUL SEATED, HOLDING HIS HANDS UP IN FEAR.PAUL HOLDING THE CROSSBOW SHOOTS. PAUL IN FRONT OF A BLACK BACKGROUNDAS THE ARROW PIERCES THROUGH HIS NECK.HE LEANS FORWARD AND GRABS THE",00.09,00.00,00.00
100010842400008490,"A 24 INTERNATIONAL LLC,",13,01:36:07:07 TO 01:36:15:09:- PARIS - HOTEL - PAULS ROOM - NIGH A TV SCREEN SHOWING A HORROR MOVIE PAUL SEATED AT THE FOOT OF THE BED IN FRONT OF THE TELEVISION.HE RAISES THE REMOTE AND TURNS OFF THE TV. 1881 PAUL (OS):Who do I make it out to,00.08,00.00,00.00
100010842400008073,BAWRI CHHORI .,1,Modified the opening and End credit titles in Hindi.,00.00,00.00,00.00
100010842400008073,BAWRI CHHORI .,2,Deleted the opening narration having strong reference to criminal thoughts ideas.,00.39,00.00,00.00
100010842400008073,BAWRI CHHORI .,3,Added Interval Card -Anti-Smoking spot,00.00,00.00,00.00
100010842400008073,BAWRI CHHORI .,4,Muted the abusive words having reference to genitals and copulation. Necessary corrections to be made in the script and deleted all abusive words.,00.00,00.00,00.00
100010842400008073,BAWRI CHHORI .,5,Inserted static drug disclaimer in Hindi for the visuals of drug consumption.,00.00,00.00,00.00
100010842400010237,MADDOCK FILMS - MUMBAI,1,Superimposed Title in Hindi,00.00,00.00,00.00
100010842400008712,ROMEO RANJHA,1,Deleted The Punjabi Start Credits 00:01:40:03 00:03:01:21,01.22,00.00,00.00
100010842400008712,ROMEO RANJHA,2,Deleted The Song No. 1 ROMEO RANJHA 00:09:40:14 00:12:18:20,02.38,00.00,00.00
100010842400008712,ROMEO RANJHA,3,Deleted The Song No. 2 CHOTTE KAAKE 00:18:41:09 00:21:04:16,02.23,00.00,00.00
100010842400008712,ROMEO RANJHA,4,Deleted The Song No. 3 CHANDRI RAAT 00:54:17:06 00:57:09:20,02.53,00.00,00.00
100010842400008712,ROMEO RANJHA,5,Deleted The Song No. 4 JUGNU 01:26:05:00 01:28:27:01,02.22,00.00,00.00
100010842400008712,ROMEO RANJHA,6,Deleted The Song No. 5 TICHI LAGDI 01:42:38:21 01:44:00:16,01.22,00.00,00.00
100050842400001202,HATCHING (DUBBED),1,Superimposed the Credits in Hindi,00.00,00.00,00.00
100010842400010025,THE LAST PEG,1,Superimposed anti-liquor static message in English,00.00,00.00,00.00
100010842400010025,THE LAST PEG,2,Blurred liquor brand labels,00.00,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,1,"Deleted the visuals of kissing scene. 18.53 to 18.57, 19.18 to 19.23, 20.05 to 20.25, 20.47 to 21.00, 21.16 to 21.57",01.13,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,2,Deleted the visuals of girl in bikini. 41.43 to 42.00,00.17,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,3,Deleted the visuals of girls in bikini. 44.36 to 44.45,00.09,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,4,Deleted the visuals of doctors treating small boy. 31.41 to 31.51,00.09,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,5,Deleted the visuals of boy girl are in the bed. 48.00 to 48.03,00.03,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,6,Deleted the visuals of cleavage scene. 49.38 to 49.48,00.10,00.00,00.00
100010842400008144,HIGHLAND SALES LLP,7,Deleted the visuals of three girls in bed with the boy. 01.03.12 to 01.03.20,00.08,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,1,Deleted the visuals of dead body. 21.07 to 21.08,00.01,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,2,Deleted the visuals of dead body. 38.37 to 38.38,00.01,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,3,Deleted the visuals of dead body. 48.54 to 49.04,00.10,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,4,Deleted the visuals of man putting injection in another mans ear and in the eye. 58.57 to 59.00 59.02 to 59.06 59.24 to 59.27,00.10,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,5,Deleted the visuals of man removiong knife from the wound. 01.03.50 to 01.03.54,00.01,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,6,Deleted the visuals of dead body. 01.05.44 to 01.05.47,00.03,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,7,Deleted the visuals of cutting of skin with the knife. 01.12.35 to 01.12.37,00.02,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,8,Deleted the visuals of blood coming from the wound. 01.17.09 to 01.17.10,00.01,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,9,Deleted the visuals of blood coming from the wound. 01.17.19 to 01.17.20 01.17.40 to 01.17.42,00.03,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,10,Deleted the visuals of man burning. 01.17.46 to 01.17.49 01.17.51 to 01.17.53,00.05,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,11,Deleted the visuals of blood coming from the neck. 01.19.27 to 01.19.28 01.19.31 to 01.19.32 01.19.45 to 01.19.46 01.20.24 to 01.20.26,00.05,00.00,00.00
100010842400008084,GEM ENTERTAINMENT KFT,12,"Muted the word FUCK at 01.02.09, 01.07.05",00.00,00.00,00.00
100010842400007802,INDIE RIGHTS INC,1,"Replaced old health spots with new anti-smokinganti-tobacco health spots in Tamil, in the beginning of the film.",00.00,00.00,00.00
100010842400007802,INDIE RIGHTS INC,2,"Inserted new anti-smokinganti-tobacco health spots in Tamil, in the middle (after interval) of the film",00.00,01.00,00.00
100010842400007802,INDIE RIGHTS INC,3,Inserted disclaimer in Tamil for the dangerous action content.,00.00,00.10,00.00
100010842400007802,INDIE RIGHTS INC,4,Superimposed film title and credits in Tamil,00.00,00.00,00.00
100010842400007802,INDIE RIGHTS INC,5,Superimposed anti-liquor static message in Tamil at TCR-00:48:17:00,00.00,00.00,00.00
100010842400007802,INDIE RIGHTS INC,6,Superimposed anti-smoking static messge at TCR-01:12:20:00,00.00,00.00,00.00
100010842400007801,CARDINAL XD LLC,1,Superimposed the Title and Credits of the film in Tamil,00.00,00.00,00.00
100010842400007801,CARDINAL XD LLC,2,"Blurred liquor brand label at TCR-00:11:28:00, 00:12:05:00, 00:18:30:00",00.00,00.00,00.00
100010842400007801,CARDINAL XD LLC,3,"Provided bigger, readable anti-liquor static message in Tamil",00.00,00.00,00.00
100010842400010221,SINGHAM AGAIN,1,Corrected Disclaimer in Telugu.,00.00,00.00,00.00
100010842400007817,SHOOT EM UP,1,ADDED 10 SECONDS OF SPACE AT THE BEGINNING OF THE FILM FOR THE DISPLAY OF THE CBFC CERTIFICATE,00.00,00.00,00.10
100010842400007817,SHOOT EM UP,2,INSERTED HEALTH SPOT IN TAMIL LANGUAGE IN THE BEGINNING AND MIDDLE OF THE FILM 0.01 MINUTES EACH,00.00,00.00,02.00
100010842400007817,SHOOT EM UP,3,INSERTED CAST CREDIT LOCALIZATION IN TAMIL LANGUAGE 00.10 SECONDS,00.00,00.00,00.10
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,1,Deleted the visual of Mans neck being slit by another man at TCR 44.31,00.02,00.00,00.00
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,2,Deleted the visual of dead body ying on the ground and blood all over on the ground at TCR 50.33,00.01,00.00,00.00
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,3,Deleted the visual of dead body hanging and blood on his legs at TCR 1.06.14,00.01,00.00,00.00
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,4,Deleted the visual of gunfiring shots at TCR 1.09.12,00.02,00.00,00.00
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,5,Deleted the visual of headshot with gun at TCR 1.10.01,00.01,00.00,00.00
100010842400008715,LIONS GATE PLAY LLP- MUMBAI,6,Deleted the visual of lady being shot on head while she drives the car and car blasts at TCR 1.37.07,00.03,00.00,00.00
100010842400008680,LIONS GATE PLAY LLP- MUMBAI,1,"MUTED THE FOLLOWING WORDS  HARAMI AT TCR 08.51. GAANJA AT TCR - 08.57, KAMINE AT TCR 12.59, ZADI AT TCR 37.51",00.00,00.00,00.00
100010842400008680,LIONS GATE PLAY LLP- MUMBAI,2,BLURRED THE LIQUOR LABEL AT TCR 16.46,00.00,00.00,00.00
100010842400010130,TRAILER A : NOVACAINE,1,Intimate scene blurred,00.00,00.00,00.00
100010842400010127,A24 INTERNATIONAL LLC,1,Kissing scene replaced,00.00,00.00,00.00
100010842400010127,A24 INTERNATIONAL LLC,2,Scene of finger in the mouth replaced,00.00,00.00,00.00
100010842400009814,SONG: - ROKKO,1,Visuals of revealing shot replaced,00.00,00.03,00.00
100010842400009931,S P ENTERPRISES - MUMBAI,1,Kissing scene replaced,00.03,00.00,00.00
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,1,DELETED THE VISUAL OF SEVERED ARMS AND LEGS IN THE WATER AND WOMAN SEEN SCREAMING AT TCR 0.30.57,00.04,00.00,00.00
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,2,DELETED THE VISUAL OF MAN UNDER WATER AND SEVERED LEGS SEEN UNDER WATER AT TCR 0.47.43,00.20,00.00,00.00
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,3,DELETED THE VISUAL OF A DEAD BODY BEEN THROWN IN WATER BY A MAN AT TCR 50.49,00.01,00.00,00.00
100030842400002486,RETURN OF HEROES,1,Inserted disclaimer in Malayalam for the dangerous action content in the film.,00.00,00.03,00.00
100030842400002538,SHANGHAI KNIGHT,1,Provided Film Credits in Malayalam,00.00,00.00,00.00
100030842400002538,SHANGHAI KNIGHT,2,Muted obscene word at TCR-00:21:23:00,00.00,00.00,00.00
100030842400002538,SHANGHAI KNIGHT,3,Reduced the scene of violence against animal by 50 at TCR-00:10:10:00,00.07,00.00,00.00
100030842400002538,SHANGHAI KNIGHT,4,Blurred obscene gesture at TCR-00:25:16:00,00.00,00.00,00.00
100030842400002538,SHANGHAI KNIGHT,5,Blurred liquor brand label at TCR-00:30:44:00,00.00,00.00,00.00
100010842400005380,THE WEDDING GUEST,1,Uploaded the end credits in applied language and with correct Translation at 01:26:10,00.00,00.00,00.00
100010842400005380,THE WEDDING GUEST,2,Uploaded the corrected script.,00.00,00.00,00.00
100010842400008632,HALAHAL,1,"Inserted Hindi text for the main disclaimer, main title of the film and credit titles to be in Hindi (language of the film).",00.00,00.00,00.00
100010842400008632,HALAHAL,2,Inserted static disclaimers in Hindi text for the visuals of smokingliquor consumption.,00.00,00.00,00.00
100010842400008632,HALAHAL,3,Inserted- 30 seconds each Anti-Smoking spots at the beginning and interval of the film,00.00,01.00,00.00
100010842400008632,HALAHAL,4,Muted the abusive words with reference to sister and other offensive words. Necessary changes are made in the script.,00.00,00.00,00.00
100010842400008632,HALAHAL,5,Blurred the word Vyapam on the printed paper.,00.00,00.00,00.00
100010842400010150,VR MEDIA - MUMBAI,1,Deleted the visual of girl sitting in boys lap,00.02,00.00,00.00
100010842400005888,A NIGHTMARE ON ELM STREET,1,Added 10 Seconds Of Space In The Beginning Of Film For Display Of Censor Certificate.,00.00,00.00,00.10
100010842400005888,A NIGHTMARE ON ELM STREET,2,Inserted Health Spot of Sunita and Cigarette Bidi do in Beginning and Middle of the film 00.01 mints each.,00.00,00.00,02.00
100010842400005888,A NIGHTMARE ON ELM STREET,3,Inserted Cast and Credit Localization language in Tamil 10.sec,00.00,00.00,00.10
100010842400009468,BIGSTONE PICTURES CO. LTD,1,ADDED ENGLISH CAST AND CREDIT AT THE END,00.00,00.00,00.03
100010842400007434,THE HANGOVER PART II,1,ADDED 10 SECONDS OF SPACE IN THE BEGINNING OF THE FILM FOR DISPLAY OF CENSOR CERTIFICATE.,00.00,00.00,00.10
100010842400007434,THE HANGOVER PART II,2,HEALTH SPOT OF SUNITA AND CIGARETTE BIDI DO IN THE BEGINNING AND MIDDLE OF THE FILM 01.00 MINUTES EACH.,00.00,00.00,02.00
100010842400007434,THE HANGOVER PART II,3,INSERTED CAST AND CREDIT LOCALIZATION LANGUAGE IN TAMIL OF 00.10 SECONDS.,00.00,00.00,00.10
100010842400007886,ALTITUDE FILM SALES LIMITED,1,Deleted the visuals of skeleton. 02.57 to 02.58,00.01,00.00,00.00
100010842400007886,ALTITUDE FILM SALES LIMITED,2,Deleted the visuals of snake getting hurt 50.57 to 50.58,00.01,00.00,00.00
100010842400007886,ALTITUDE FILM SALES LIMITED,3,Deleted the visuals of woman cutting the skin of the neck. 59.36 to 59.49,00.13,00.00,00.00
100010842400007886,ALTITUDE FILM SALES LIMITED,4,Deleted the visuals of snake wrapping around the neck of the girl. 01.10.33 to 01.11.02,00.29,00.00,00.00
100010842400007886,ALTITUDE FILM SALES LIMITED,5,Deleted the visuals of man killing snake. 01.11.14 to 01.11.19,00.05,00.00,00.00
100010842400007886,ALTITUDE FILM SALES LIMITED,6,Deleted the visuals of woman cutting the head of snake. 01.11.34 to 01.11.43,00.09,00.00,00.00
100010842400008258,"CARDINAL XD, LLC",1,Added main and credit title in Tamil,00.00,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,1,"Muted word KAMINE AT TCR 41.12, 1.10.12,",00.00,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,2,Muted word Salaa - 46:57 - 47.27 - 47:50 - 48:11 - 48:35 - 48:46 - 48:50 - 48:53 - 01:00:08 - 01:03:01- 01:03:06 01:05:14 - 01:05:46 -01:06:56 - 01:08:10,00.00,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,3,Muted word Haramzade : 01:05:16,00.00,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,4,DELETED THE VISUAL OF STRIPPER DANCING ON STAGE AND NUDITY AT TCR 43:59 to 44:02,00.03,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,5,DELETED THE VISUAL OF MAN STABBED IN STOMACH BLOOD OOZING OUT LADY TRYING TO PRESS THE WOUND FOR STOPPING BLOOD 1.09.41 to 1.09.44,00.03,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,6,DELETED THE VISUAL OF MAN STABBED brutally AT TCR 1.19.24 to to 01:19:28,00.04,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,7,DELETED THE VISUAL OF FIGHTING SCENE BETWEEN A MAN AND woman at TCR 01:19:48 to 01:19:57,00.09,00.00,00.00
100010842400008809,LIONS GATE PLAY LLP- MUMBAI,8,Deleted the flight shot hitting man on Head 01:20:09 to 01:20:17,00.08,00.00,00.00
100010842400008730,ANYONE BUT YOU,1,Corrected Film Title in Telugu,00.00,00.00,00.00
100010842400008730,ANYONE BUT YOU,2,Superimpose Film Credits in Telugu,00.00,00.00,00.00
100010842400008730,ANYONE BUT YOU,3,Superimposed anti-liquor static message in Telugu from TCR-00:51:00:00 to 00:55:00:00 and 01:18:41:00,00.00,00.00,00.00
100010842400008730,ANYONE BUT YOU,4,Muted obscene word at TCR-00:40:22:00,00.00,00.00,00.00
100010842400009743,BATS HUMAN HARVEST,1,Superimposed anti-liquor static message in Tamil at TCR-01:05:50:00,00.00,00.00,00.00
100010842400008557,THE PURSUIT OF HAPPYNESS,1,"Superimposed anti-smoking and anti-liquor static messages at TCR-00:56:25:00, 01:42:02:00",00.00,00.00,00.00
100010842400008557,THE PURSUIT OF HAPPYNESS,2,Blurred obscene words at TCR-00:05:39:00 and 00:39:36:00,00.00,00.00,00.00
100030842400001417,ENNODU NEE IRUNDHAL,1,ADDITIONS: Smoking disclaimers Statutory warnings  CC duration of 10sec. (Before and After Interval) (CC :10 sec  Statutory warn Starting 20 sec after Interval 20 sec  Smoking disclaimers visuals Starting movie 30 Sec after Interval 30 Sec),00.00,00.00,01.50
100070842400001326,SHIRIN SRIRAM CAFE- HYDERABAD,1,Modified existing base on true event disclaimer,00.00,00.00,00.00
100070842400001326,SHIRIN SRIRAM CAFE- HYDERABAD,2,Superimposed anti alcohol static at TCR 00:37:20:00 and wherever occur,00.00,00.00,00.00
100070842400001326,SHIRIN SRIRAM CAFE- HYDERABAD,3,Increased the font size of anti alcohol and smoking static wherever it occurs,00.00,00.00,00.00
100070842400001326,SHIRIN SRIRAM CAFE- HYDERABAD,4,Modified script submitted,00.00,00.00,00.00
100010842400007865,"CARDINAL XD, LLC",1,Inserted credit title title end scrolls in applied language.,00.00,00.00,00.00
100010842400008277,"EPIC PICTURES GROUP,INC",1,Inserted disclaimer in Tamil for dangerous action content,00.00,00.10,00.00
100010842400008277,"EPIC PICTURES GROUP,INC",2,Corrected English Title at TCR-00:04:35:00,00.00,00.00,00.00
100010842400007796,CARDINAL XD LLC,1,Replaced old health spot with new anti-smokinganti-tobacco health spots in Tamil in the beginning of the film.,00.00,00.00,00.00
100010842400007796,CARDINAL XD LLC,2,Inserted anti-smokinganti-tobacco health spots in Tamil in the middle of the film.,00.00,01.00,00.00
100010842400007796,CARDINAL XD LLC,3,Inserted anti-drug disclaimer in Tamil in the beginning of the film.,00.00,00.10,00.00
100010842400007796,CARDINAL XD LLC,4,Superimposed anti-smoking static message in Tamil at TCR-00:06:47:00,00.00,00.00,00.00
100010842400007796,CARDINAL XD LLC,5,Provided Title and Credits in Tamil,00.00,00.00,00.00
100010842400007796,CARDINAL XD LLC,6,Blurred liquor brand labels,00.00,00.00,00.00
100010842400007796,CARDINAL XD LLC,7,Replaced blank space at the end with end credits TCR-01:11:04:00 to 01:13:00:00,00.00,00.00,00.00
100050842400001319,MUZZLE,1,"1) Muted Word Fuck at Tcr : 02:12, 02:17, 05:55, 05:56, 08:11, 11:37, 18:07, 18:31, 21:17, 26:07, 33:16, 40:07, 41:18, 44:04, 50:32, 50:48, 59:56, 01:00:52, 01:10:32, 01:11:32, 01:13:04, 01:16:07, 01:16:13, 01:18:04, 01:19:36, 01:28:02 2) Son of a",00.00,00.00,00.00
100010842300012241,BOARDING,1,line added in the disclaimer : We do not support any type of Child abuse or violence.,00.00,00.00,00.00
