id,certificate_id,movie_name,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100070291700000323,100070101700000560,YUDDHAM SARANAM,Telugu,8450.0,Delete visuals of party kanduvas during dharna.,,4,0.0,0.0,0.0,0.0,,DIL2422017-HYD,KORRAPATI RANGANATHA SAI - HYDERABAD(VAARAAHI CHALANA CHITRAM),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A073008201700024
100070291700000323,100070101700000560,YUDDHAM SARANAM,Telugu,8450.0,Deletemute demonetisation scheme,,3,0.0,0.0,0.0,0.0,,DIL2422017-HYD,KORRAPATI RANGANATHA SAI - HYDERABAD(VAARAAHI CHALANA CHITRAM),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A073008201700024
100070291700000323,100070101700000560,YUDDHAM SARANAM,Telugu,8450.0,Deletemute Modi laantodni,,2,0.0,0.0,0.0,0.0,,DIL2422017-HYD,KORRAPATI RANGANATHA SAI - HYDERABAD(VAARAAHI CHALANA CHITRAM),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A073008201700024
100070291700000323,100070101700000560,YUDDHAM SARANAM,Telugu,8450.0,"Deletemute recent, Attapur.",,1,0.0,0.0,0.0,0.0,,DIL2422017-HYD,KORRAPATI RANGANATHA SAI - HYDERABAD(VAARAAHI CHALANA CHITRAM),"PVR Rajasekharam, RO, CBFC, Hyderabad",UA,1A073008201700024
100070291700000150,100070101700000310,YOURS LOVINGLY,Telugu,8043.0,Delete purse chuste elanti ammayi ayina padipothundi.,,2,0.0,0.0,0.0,0.0,,DIL1102017-HYD,SRIDHARA PRUDHVIDUTH POTLURI - VISAKHAPATNAM(POTLURI STUDIOS),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071706201700020
100070291700000150,100070101700000310,YOURS LOVINGLY,Telugu,8043.0,Deletemute first night,,1,0.0,0.0,0.0,0.0,,DIL1102017-HYD,SRIDHARA PRUDHVIDUTH POTLURI - VISAKHAPATNAM(POTLURI STUDIOS),"PVR Rajasekharam, RO, CBFC, Hyderabad",U,1A071706201700020
100030291700000782,100030101700000848,YENDA THALAIYILA ENNA VAIKALA,Tamil,7105.0,Mute the word Holessaalathaan. (Shot 151),,16,0.0,0.0,0.0,0.0,2017-11-27,DIL2502017-Che,A Muthukrishnan (E.O.),"M M Mathialagen, RO, CBFC, Chennai",UA,1A032709201701631
100030291700000782,100030101700000848,YENDA THALAIYILA ENNA VAIKALA,Tamil,7105.0,Mute the word Gommaaley. (Shot 41),,15,0.0,0.0,0.0,0.0,2017-11-27,DIL2502017-Che,A Muthukrishnan (E.O.),"M M Mathialagen, RO, CBFC, Chennai",UA,1A032709201701631
100030291700000782,100030101700000848,YENDA THALAIYILA ENNA VAIKALA,Tamil,7105.0,Mute the word Matting.,,14,0.0,0.0,0.0,0.0,2017-11-27,DIL2502017-Che,A Muthukrishnan (E.O.),"M M Mathialagen, RO, CBFC, Chennai",UA,1A032709201701631
100030291700000782,100030101700000848,YENDA THALAIYILA ENNA VAIKALA,Tamil,7105.0,Mute the words Oththa mayiru. (Shot 99),,13,0.0,0.0,0.0,0.0,2017-11-27,DIL2502017-Che,A Muthukrishnan (E.O.),"M M Mathialagen, RO, CBFC, Chennai",UA,1A032709201701631
