id,movie_name,language
100010292200009843,ZWIGATO,Hindi
100010291900011249,ZULM KA RAKSHAK,Hindi
100010292400004775,DIL SE ROOH TAK,Hindi
100050292400000547,ZORAWAR DI JACQUELINE,Hindi
100010292400007933,ZORA,Hindi
100010291800010490,ZOOTOPIA.,Telugu
100020292300000325,ZOOM CALL,Kannada
100010291900012823,ZOOLANDER,Hindi
100010292200007859,ZOMBIELAND : 2 DOUBLE TAP,Bhojpuri
100010291900014603,ZOMBIELAND : 2 DOUBLE TAP,English
100010292500001072,ZOMBIELAND 2 DOUBLE TAP,Telugu
100010292100002861,ZOMBIE REDDY,Hindi
100030291900001760,ZOMBIE,TAMIL WITH ENGLISH SUBTITLES
100010292100004574,ZOLA,English
100010292100001512,ZOL ZAAL,Marathi
100010292300000238,BROKER,Korean
100010292200009008,GUDDI VILLA,Gujarati
100050292200000441,ZINDGI TERE NAA,Punjabi
100050291900001426,ZINDAGI ZINDABAAD,Punjabi
100010291800011546,ZINDAGI MUMBAI,Hindi
100010291900008077,ZINDAGI GULZAR HAI,Hindi
100010292200006984,ZINDAGI BAN GAYE HO TUM,Bhojpuri
100010291900013898,ZINDA DIL,Bhojpuri
100010291900009089,ZINDA DIL,Bhojpuri
100010292100002469,ONGALA PODANUM SIR,Hindi
100010292200003293,ZIDDI COUPLES,Hindi
100010292300002624,ZHUNJAR GADYA,Marathi
100010291800013266,RAHIMPURA 9:40 PM,Hindi
100010291800014444,ZERO,Hindi
100010292100001452,ANOTHER ROUND,Danish with English Subtitles
100010292100001190,ISHWARI,Marathi with English Subtitle
100010292200005474,AAFAT-E-ISHQ,Hindi
100010292100006120,PANDU,Marathi
100010292100003249,14 PHERE,Hindi with English Subtitle
100070292400001103,"""ZEBRA""",Telugu
100010292000005414,ZATHURA,Kannada
100010292400008546,ZANZVA NU JAD,Gujarati
100010291900003262,ZAMEEN KE NEECHE,Hindi
100010292100007013,ZAKHMI ROOH,Hindi
100010292100002386,ZAKHMI KHILADI - NENU LENU,Hindi
100010291900000980,ZAKHAMI INSAN,Hindi
100010292100001300,ZACK SNYDERS JUSTICE LEAGUE,English
100010291900004967,ZAALIM,Hindi
100010291900009199,HUNGAMA HOUSE,Gujarati
100010291800006866,YUVASENA,Hindi
100020292100000086,YUVARATHNAA,Kannada with English Subtitles
100010292100002497,YUVARATHN,Hindi
100020292400000235,YUVARAJ,Hindi
100020292400000237,YUVARAJ,Telugu
100020292400000627,YUVANAKSHATRA,Kannada
100020292300000500,YUVAKARU,Kannada
100070291800000188,YUVA TARAM,Telugu
100010291800007696,YUVA SAMRAT,Hindi
100020292400000171,YUVA,Kannada
100030292100002039,YUTHA SATHAM,Tamil
100010292200005989,YUTHA SATHAM,Hindi
100010291800001011,YUNTUM.,Marathi
100010291800002518,THE MERCILESS,English
100030292200002572,YUGI,Tamil
100010291900012509,'DAAH EK MARMASPARSHI KATHA',Marathi with English Subtitle
100030292100001162,YUGAANTHAM,Telugu
100010292100001450,YUGAA - THE JOURNEY OF LOVE,Hindi
100020292300000004,YUGA,Kannada
100010292400006239,YUDHRA,Hindi
100070292400000530,YUDHISTER,Telugu
100010291900004507,YUDHBHOOMI,Hindi
100070291700000323,YUDDHAM SARANAM,Telugu
100020292400000252,YUDDHA KANDA,Kannada
100030292200002049,YUDDHA  KAANDAM,Tamil
100010292200006952,HOLY COW,Hindi
100050291800000298,YOUTH FUTURE,Hindi
100030291900000291,YOUTH AKA LA GIOVINEZZA,English
100020292100000198,YOUTH,Kannada
100070291700000150,YOURS LOVINGLY,Telugu
100050292200000620,YOUR NAME ORCHESTRA CONCERT,Japanese
100050292200000575,YOUR NAME,Japanese
100020292300000257,YOUNG MAN,Kannada
100010291900000544,YOUNG ADULT,Hindi
100010291900003954,YOU WERE NEVER REALLY HERE,English
100010291800004822,YOU WERE NEVER REALLY HERE,English
100010292100007269,YOU SHOULD HAVE LEFT,English
100010292400008911,YOU KEEP THE KIDS,Tamil
100010292400006341,YOU HURT MY FEELINGS,English
100070292200000349,"""YOU ARE MY HERO""",Telugu
100030292300000574,YOSI,Tamil
100030292300001356,"""YOKKIYAN""",Tamil
100010291800001939,HOTEL TOSS,Hindi
